starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:20:54 2025	1753129254	1	18	19	10
Mon Jul 21 21:20:55 2025	1753129255	0	19	19	16
Mon Jul 21 21:20:54 2025	1753129254	0	19	19	17
Mon Jul 21 21:20:54 2025	1753129254	3	16	19	15
Mon Jul 21 21:20:56 2025	1753129256	3	16	19	15
Mon Jul 21 21:20:55 2025	1753129255	0	19	19	14
Mon Jul 21 21:20:54 2025	1753129254	2	17	19	16
Mon Jul 21 21:20:55 2025	1753129255	1	18	19	15
Mon Jul 21 21:20:55 2025	1753129255	0	19	19	19
Mon Jul 21 21:20:54 2025	1753129254	0	19	19	18
Mon Jul 21 21:20:54 2025	1753129254	0	19	19	16
Mon Jul 21 21:20:54 2025	1753129254	1	19	20	17
Mon Jul 21 21:20:55 2025	1753129255	0	20	20	19
Mon Jul 21 21:20:56 2025	1753129256	1	18	20	17
Mon Jul 21 21:20:54 2025	1753129254	1	19	20	19
Mon Jul 21 21:20:54 2025	1753129254	1	19	20	19
Mon Jul 21 21:20:56 2025	1753129256	4	16	20	15
Mon Jul 21 21:20:54 2025	1753129254	2	17	20	17
Mon Jul 21 21:20:55 2025	1753129255	0	19	20	16
Mon Jul 21 21:20:54 2025	1753129254	0	20	20	18
Mon Jul 21 21:20:55 2025	1753129255	2	18	20	17
Mon Jul 21 21:20:55 2025	1753129255	0	20	20	17
Mon Jul 21 21:20:55 2025	1753129255	1	18	20	15
Mon Jul 21 21:20:54 2025	1753129254	0	20	20	18
Mon Jul 21 21:20:56 2025	1753129256	0	20	20	20
Mon Jul 21 21:20:54 2025	1753129254	2	18	20	18
Mon Jul 21 21:20:55 2025	1753129255	0	20	20	17
Mon Jul 21 21:20:56 2025	1753129256	0	20	20	20
Mon Jul 21 21:20:55 2025	1753129255	1	19	20	17
Mon Jul 21 21:20:55 2025	1753129255	0	20	20	15
Mon Jul 21 21:20:55 2025	1753129255	0	20	20	16
Mon Jul 21 21:20:54 2025	1753129254	2	19	20	14
Mon Jul 21 21:20:55 2025	1753129255	1	19	20	17
Mon Jul 21 21:20:55 2025	1753129255	2	18	20	16
Mon Jul 21 21:20:56 2025	1753129256	1	19	20	18
Mon Jul 21 21:20:55 2025	1753129255	4	16	20	14
Mon Jul 21 21:20:55 2025	1753129255	0	20	20	12
Mon Jul 21 21:20:55 2025	1753129255	0	20	20	15
Mon Jul 21 21:20:55 2025	1753129255	0	20	20	17
Mon Jul 21 21:20:54 2025	1753129254	3	17	20	14
Mon Jul 21 21:20:54 2025	1753129254	0	20	20	19
Mon Jul 21 21:20:55 2025	1753129255	4	17	21	16
Mon Jul 21 21:20:54 2025	1753129254	3	18	21	16
Mon Jul 21 21:20:55 2025	1753129255	0	20	21	20
Mon Jul 21 21:20:54 2025	1753129254	3	18	21	17
Mon Jul 21 21:20:56 2025	1753129256	0	20	21	16
Mon Jul 21 21:20:55 2025	1753129255	0	20	21	16
Mon Jul 21 21:20:56 2025	1753129256	0	20	21	18
Mon Jul 21 21:20:56 2025	1753129256	1	19	21	18
Mon Jul 21 21:20:55 2025	1753129255	1	19	21	17
Mon Jul 21 21:20:54 2025	1753129254	0	21	21	18
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	20
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	19
Mon Jul 21 21:20:54 2025	1753129254	0	21	21	20
Mon Jul 21 21:20:55 2025	1753129255	0	21	21	21
