starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:05:21 2025	1753128321	8	267	275	264
Mon Jul 21 21:05:21 2025	1753128321	12	266	278	266
Mon Jul 21 21:05:21 2025	1753128321	10	269	279	268
Mon Jul 21 21:05:21 2025	1753128321	10	269	279	268
Mon Jul 21 21:05:22 2025	1753128322	0	280	280	273
Mon Jul 21 21:05:22 2025	1753128322	0	281	281	272
Mon Jul 21 21:05:22 2025	1753128322	216	66	282	65
Mon Jul 21 21:05:21 2025	1753128321	7	276	284	275
Mon Jul 21 21:05:21 2025	1753128321	7	277	284	275
Mon Jul 21 21:05:21 2025	1753128321	17	268	285	265
Mon Jul 21 21:05:22 2025	1753128322	0	285	285	285
Mon Jul 21 21:05:21 2025	1753128321	7	278	285	276
Mon Jul 21 21:05:21 2025	1753128321	14	271	285	271
Mon Jul 21 21:05:21 2025	1753128321	9	277	286	276
Mon Jul 21 21:05:21 2025	1753128321	7	280	288	278
Mon Jul 21 21:05:21 2025	1753128321	18	273	291	272
Mon Jul 21 21:05:22 2025	1753128322	0	291	291	284
Mon Jul 21 21:05:21 2025	1753128321	16	276	292	275
Mon Jul 21 21:05:22 2025	1753128322	0	293	293	283
Mon Jul 21 21:05:22 2025	1753128322	0	293	294	285
Mon Jul 21 21:05:21 2025	1753128321	18	277	295	276
Mon Jul 21 21:05:21 2025	1753128321	12	282	295	281
Mon Jul 21 21:05:21 2025	1753128321	19	277	296	277
Mon Jul 21 21:05:21 2025	1753128321	19	278	297	277
Mon Jul 21 21:05:21 2025	1753128321	19	278	297	278
Mon Jul 21 21:05:21 2025	1753128321	6	292	298	285
Mon Jul 21 21:05:21 2025	1753128321	7	292	299	290
Mon Jul 21 21:05:22 2025	1753128322	0	301	301	294
Mon Jul 21 21:05:21 2025	1753128321	19	282	301	281
Mon Jul 21 21:05:22 2025	1753128322	0	303	303	300
Mon Jul 21 21:05:22 2025	1753128322	92	216	308	199
Mon Jul 21 21:05:22 2025	1753128322	32	278	310	17
Mon Jul 21 21:05:21 2025	1753128321	30	285	314	278
Mon Jul 21 21:05:21 2025	1753128321	18	298	316	296
Mon Jul 21 21:05:21 2025	1753128321	30	287	317	287
Mon Jul 21 21:05:21 2025	1753128321	19	299	317	293
Mon Jul 21 21:05:21 2025	1753128321	30	288	318	288
